id,en,fr,de,nl,ar
global.language.english,English,English,English,English,English
global.language.french,Français,Français,Français,Français,Français
global.language.dutch,Dutch,Dutch,Dutch,Dutch,Dutch
global.language.german,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
global.fab.skip,Skip,Passer,,,
global.button.next,Next,Suivant,,,
global.button.login,Log in,Connexion,,,
global.button.confirm,Confirm,Confirmer,,,
global.button.signup,Sign up,S'inscrire,,,
global.button.send,Send,Envoyer,,,
global.button.save,Save,Enregistrer,,,
global.button.allow,Allow,Autoriser,,,
global.button.skip,Skip,Plus tard,,,
global.button.startSelling,Start selling,Commencez,,,
global.button.continue,Continue,Continuer,,,
global.button.remove,Remove,Supprimer,,,
global.button.edit,Edit,Modifier,,,
global.button.back,Back,Back,,,
global.button.close,Close,Close,,,
global.button.saveOffer,Save offer,Save offer,,,
global.button.submit,Submit,Submit,,,
global.divider.or,OR,OU,,,
global.label.or,Or,Or,,,
global.label.emailAddress,Email Address,E-mail,,,
global.label.password,Password,Mot de passe,,,
global.label.resendCode,Resend code,Renvoyer le code,,,
global.label.resend,Resend,Renvoyer,,,
global.label.login,Login,Connexion,,,
global.label.firstName,First name,Prénom,,,
global.label.lastName,Last name,Nom,,,
global.label.personalInformation,Personal information,Informations Personnelles,,,
global.label.city,City,Ville,,,
global.label.postCode,Postcode,Code postal,,,
global.label.streetAndHouseNumber,Street and house number,N° et nom de rue,,,
global.label.address,Address,Adresse,,,
global.label.phoneNumber,Phone number,Téléphone,,,
global.label.profileName,Profile name,Nom de profil,,,
global.label.aboutMe,About me,A propos de moi,,,,
global.label.language,Language,Langue,,,
global.label.available,Available,Available,,,
global.label.pending,Pending,Pending,,,
global.label.toBeConfirmed,To be confirmed,To be confirmed,,,
global.label.toBePrepared,To be prepared,To be prepared,,,
global.label.activeOffers,Active offers,Active offers,,,
global.label.mealsServed,Meals served,Meals served,,,
global.label.tips,Tips,Tips,,,
global.label.title,Title,Title,,,
global.label.description,Description,Description,,,
global.label.price,Price,Price,,,
global.label.mandatoryFields,Mandatory fields,Mandatory fields,,,
global.label.tags,Tags,Tags,,,
global.label.allergens,Allergens,Allergens,,,
global.label.portionWeight,Portion weight,Portion weight,,,
global.label.offerType,Offer type,Offer type,,,
global.label.preorder,Pre-order,Pre-order,,,
global.label.ondemand,On-demand,On-demand,,,
global.label.servingDate,Serving date,Serving date,,,
global.label.orderUntil,Order until,Order until,,,
global.label.noticePeriod,Notice period,Notice period,,,
global.label.quantity,Quantity,Quantity,,,
global.label.dishes,Dishes,Dishes,,,
global.label.hours,Hours,Hours,,,
global.label.hoursLowercase,hours,hours,,,
global.label.gramm,Gramm,Gramm,,,
global.label.option,Option,Option,,,
global.label.onlyPickup,Only Pick-up,Only Pick-up,,,
global.label.onlyDelivery,Only Delivery,Only Delivery,,,
global.label.deliveryAndPickup,Delivery & Pickup,Delivery & Pickup,,,
global.label.pickupAddress,Pickup address,Pickup address,,,
global.label.chefAddress,Chef's address,Chef's address,,,
global.label.review,Leave a review,Leave a review,,,
global.label.delivery,Delivery,Delivery,,,
global.label.pickup,Pickup,Pickup,,,
global.label.zone,Zone,Zone,,,
global.label.distance,Distance,Distance,,,
global.label.euroSign,€,€,€,€,€
global.label.notifications,Notifications,Notifications,,,
global.label.messages,Messages,Messages,,,
global.label.inPreparation,In-preparation,In-preparation,,,
global.label.delivered,Delivered,Delivered,,,
global.label.inPrep,In-prep.,In-prep.,,,
global.label.enter6DigitCode,Enter 6 digits code,Enter 6 digits code,,,
global.label.scanQRCode,Scan QR code,Scan QR code,,,
global.label.reviews,Reviews,Reviews,,,
global.label.edit,Edit,Edit,,,
global.label.draft,Draft,Draft,,,
global.label.active,Active,Active,,,
global.label.archive,Archive,Archive,,,
global.label.firstAndLastName,First and last name,First and last name,,,
global.label.birthdate,Birthdate,Birthdate,,,
global.label.billingAddress,Billing address,Billing address,,,
global.label.attachYourAddress,Attach your address,Attach your address,,,
global.label.bankAccount,Bank account,Bank account,,,
global.label.attachYourIBAN,Attach your IBAN,Attach your IBAN,,,
global.label.inactive,Inactive,Inactive,,,
global.label.off,off,off,,,
global.label.saveInDraft,Save in draft,Save in draft,,,
global.label.estimation,estimation,estimation,,,
global.label.customer,Customer,Customer,,,
global.label.specialNote,Special note,Special note,,,
global.label.serving,Serving,Serving,,,
global.label.orders,Orders,Orders,,,
global.label.cuisines,Cuisines,Cuisines,,,
global.label.share,Share,Share,,,
global.label.top,Top,Top,,,
global.label.okay,Okay,Okay,,,
global.label.onDemand,On demand,On demand,,,
global.label.save,Save,Enregistrer,,,
global.label.notSet,Not set,Not set,,,
validation.email.required,Email is required.,,,,
validation.email.notValid,Not a valid email.,,,,
validation.password.required,Password is required.,,,,
validation.password.minLength,Password must be at least 8 characters long.,,,,
validation.password.maxLength,Password cannot be more than 32 characters long.,,,,
validation.password.containNumber,Password must contain a number.,,,,
validation.password.containSpecial,Password must contain a special character.,,,,
validation.password.containUppercase,Password must contain a uppercase character.,,,,
validation.password.containLowercase,Password must contain a lowercase character.,,,,
validation.newPasswordConfirm.required,Please retype the password here.,,,,
validation.newPasswordConfirm.notMatching,Password is not matching.,,,,
validation.firstName.required,First name is required.,,,,
validation.firstName.minLength,First name must be at least 2 characters long.,,,,
validation.firstName.maxLength,First name cannot be more than 32 characters long.,,,,
validation.lastName.required,Last name is required.,,,,
validation.lastName.minLength,Last name must be at least 2 characters long.,,,,
validation.lastName.maxLength,Last name cannot be more than 32 characters long.,,,,
validation.termsAndPolicy.required,You must accept the terms and policy to sign up.,,,,
validation.phoneNumber.required,Phone number is required.,,,,
validation.phoneNumber.invalid,Phone number is not valid.,,,,
validation.chef.profileName.required,Profile name is required.,,,,
validation.chef.profileName.minLength,Profile name must be more than 5 characters long.,,,,
validation.chef.profileName.maxLength,Profile name cannot be more than 32 characters long.,,,,
validation.chef.aboutMe.required,This field is required.,,,,
validation.chef.aboutMe.minLength,This field must be more than 5 characters long.,,,,
validation.chef.aboutMe.maxLength,This field cannot be more than 32 characters long.,,,,
validation.chef.cuisines.required,This field is required.,,,,
validation.chef.sellPlan.required,This field is required.,,,,
validation.offer.title.maxLength,This field cannot be more than 64 characters long.,,,,
